"Supplement","Side_Effects","Benefits"
"Lemon Balm","Urinate frequently(1/10), Taste bad(1/13), Expensive(13/537), Depression(185/9765), Constipation(2/109), Anxiety(79/6879), Nightmare(12/1046), Nausea(3/265), Pain(74/6829), Useless(3/374), Sweat(3/782)","Affordable(2/35), Non Addictive(1/62), Calming(120/9004), Safe(125/9402), Effective(134/10254), Sleepy(27/2583)"
"Potassium","Sweat(9/782), Depression(109/9765), Pain(58/6829), Anxiety(54/6879), Expensive(3/537), Useless(2/374), Nausea(1/265), Nightmare(3/1046)","Affordable(1/35), Calming(65/9004), Safe(67/9402), Effective(65/10254), Sleepy(12/2583)"
"Glycine","Urinate frequently(1/10), Taste bad(1/13), Expensive(11/537), Constipation(2/109), Nausea(4/265), Depression(111/9765), Anxiety(61/6879), Pain(60/6829), Useless(3/374), Sweat(5/782), Nightmare(6/1046)","Effective(116/10254), Safe(102/9402), Calming(91/9004), Sleepy(19/2583)"
"Magnolia Bark","Constipation(2/109), Nausea(2/265), Depression(38/9765), Sweat(3/782), Expensive(2/537), Anxiety(20/6879), Pain(19/6829), Nightmare(2/1046)","Affordable(1/35), Calming(30/9004), Safe(30/9402), Effective(30/10254), Sleepy(5/2583)"
"Calcium","Constipation(2/109), Useless(6/374), Nausea(4/265), Pain(67/6829), Depression(95/9765), Sweat(7/782), Anxiety(48/6879), Expensive(3/537)","Affordable(2/35), Non Addictive(1/62), Calming(74/9004), Safe(77/9402), Effective(83/10254), Sleepy(15/2583)"
"Hops","Expensive(1/537), Sweat(1/782), Anxiety(4/6879), Pain(1/6829), Depression(1/9765)","Sleepy(1/2583), Calming(1/9004), Safe(1/9402), Effective(1/10254)"
"Chamomile","Urinate frequently(1/10), Constipation(6/109), Nausea(13/265), Useless(16/374), Depression(397/9765), Anxiety(252/6879), Sweat(28/782), Expensive(18/537), Pain(222/6829), Nightmare(23/1046)","Taste Amazing(1/4), Sleepy(153/2583), Non Addictive(3/62), Calming(376/9004), Effective(397/10254), Safe(353/9402), Affordable(1/35)"
"California Poppy","Constipation(1/109), Nausea(1/265), Depression(23/9765), Pain(11/6829), Anxiety(8/6879), Nightmare(1/1046)","Safe(11/9402), Calming(8/9004), Effective(8/10254), Sleepy(2/2583)"
"Amanita","Nausea(1/265), Expensive(2/537), Nightmare(3/1046), Sweat(1/782), Depression(12/9765), Pain(8/6829), Anxiety(5/6879)","Non Addictive(1/62), Effective(16/10254), Safe(14/9402), Calming(8/9004), Sleepy(2/2583)"
"Melatonin","Nightmare(732/1046), Useless(234/374), Pain(3609/6829), Sweat(402/782), Anxiety(3404/6879), Nausea(130/265), Depression(4655/9765), Expensive(243/537), Constipation(39/109), Taste bad(4/13), Urinate frequently(2/10)","Non Addictive(35/62), Sleepy(1369/2583), Effective(5332/10254), Calming(4646/9004), Safe(4802/9402), Affordable(14/35), Taste Amazing(1/4)"
"5-HTP","Expensive(12/537), Nausea(4/265), Useless(5/374), Depression(116/9765), Sweat(8/782), Pain(68/6829), Anxiety(66/6879), Constipation(1/109), Nightmare(5/1046)","Sleepy(28/2583), Effective(107/10254), Safe(91/9402), Calming(85/9004)"
"Passion Flower","Depression(224/9765), Expensive(6/537), Constipation(1/109), Nausea(2/265), Pain(40/6829), Anxiety(39/6879), Useless(2/374), Sweat(3/782), Nightmare(4/1046)","Affordable(1/35), Sleepy(19/2583), Safe(57/9402), Effective(62/10254), Calming(52/9004)"
"Kava","Taste bad(1/13), Expensive(14/537), Constipation(2/109), Nausea(4/265), Anxiety(103/6879), Depression(142/9765), Pain(97/6829), Useless(5/374), Sweat(9/782), Nightmare(7/1046)","Non Addictive(3/62), Safe(137/9402), Effective(148/10254), Sleepy(36/2583), Calming(115/9004)"
"Ashwagandha","Anxiety(146/6879), Constipation(2/109), Sweat(12/782), Depression(146/9765), Pain(100/6829), Nightmare(14/1046), Expensive(7/537), Useless(4/374), Nausea(2/265)","Safe(144/9402), Effective(147/10254), Calming(127/9004), Sleepy(25/2583)"
"Theanine","Urinate frequently(1/10), Nausea(4/265), Anxiety(99/6879), Sweat(11/782), Pain(81/6829), Depression(105/9765), Expensive(4/537), Nightmare(3/1046)","Affordable(1/35), Calming(106/9004), Safe(107/9402), Effective(114/10254), Sleepy(21/2583)"
"Vitamin D","Constipation(3/109), Pain(114/6829), Depression(162/9765), Anxiety(110/6879), Nausea(3/265), Sweat(8/782), Useless(3/374), Expensive(2/537), Nightmare(3/1046)","Calming(103/9004), Safe(104/9402), Effective(109/10254), Sleepy(24/2583)"
"Zinc","Urinate frequently(1/10), Taste bad(1/13), Nausea(5/265), Sweat(12/782), Pain(72/6829), Depression(98/9765), Useless(3/374), Expensive(4/537), Anxiety(42/6879), Nightmare(2/1046)","Safe(76/9402), Effective(80/10254), Sleepy(20/2583), Calming(64/9004)"
"Mulungu","Constipation(1/109), Nausea(1/265), Expensive(1/537), Depression(18/9765), Pain(9/6829), Sweat(1/782), Anxiety(7/6879), Nightmare(1/1046)","Sleepy(7/2583), Safe(14/9402), Effective(15/10254), Calming(13/9004)"
"Tryptophan","Urinate frequently(1/10), Expensive(12/537), Depression(145/9765), Pain(92/6829), Sweat(9/782), Nausea(3/265), Useless(4/374), Anxiety(70/6879), Constipation(1/109), Nightmare(6/1046)","Non Addictive(2/62), Affordable(1/35), Effective(141/10254), Safe(114/9402), Sleepy(30/2583), Calming(98/9004)"
"CBD Oil","Expensive(42/537), Sweat(53/782), Anxiety(301/6879), Depression(364/9765), Pain(241/6829), Nightmare(26/1046), Nausea(6/265), Useless(8/374), Constipation(2/109)","Affordable(3/35), Safe(397/9402), Effective(418/10254), Calming(318/9004), Sleepy(57/2583)"
"Skullcap","Depression(68/9765), Useless(2/374), Anxiety(31/6879), Pain(30/6829), Nausea(1/265), Nightmare(2/1046), Expensive(1/537)","Affordable(2/35), Sleepy(14/2583), Effective(49/10254), Safe(42/9402), Calming(39/9004)"
"Black Seed Oil","Constipation(1/109), Nausea(1/265), Depression(8/9765), Pain(3/6829), Anxiety(3/6879)","Sleepy(3/2583), Safe(10/9402), Effective(9/10254), Calming(2/9004)"
"Valerian Root","Taste bad(2/13), Expensive(45/537), Constipation(9/109), Nightmare(83/1046), Depression(764/9765), Anxiety(535/6879), Pain(518/6829), Nausea(20/265), Sweat(53/782), Useless(23/374)","Sleepy(251/2583), Non Addictive(6/62), Affordable(3/35), Safe(768/9402), Effective(826/10254), Calming(707/9004)"
"Lavender","Urinate frequently(1/10), Depression(318/9765), Nausea(7/265), Anxiety(173/6879), Expensive(13/537), Pain(147/6829), Useless(8/374), Sweat(15/782), Nightmare(17/1046), Constipation(1/109)","Sleepy(92/2583), Calming(251/9004), Safe(241/9402), Effective(244/10254), Non Addictive(1/62)"
"Magnesium","Constipation(31/109), Taste bad(3/13), Anxiety(1219/6879), Sweat(129/782), Nausea(43/265), Pain(1088/6829), Depression(1461/9765), Expensive(78/537), Useless(43/374), Urinate frequently(1/10), Nightmare(91/1046)","Taste Amazing(2/4), Calming(1505/9004), Safe(1518/9402), Effective(1603/10254), Non Addictive(9/62), Sleepy(351/2583), Affordable(3/35)"
